window,min_ev,filter,max_ratio,kill_switch,is_roi,is_bets,is_pos,is_seasons,is_bk
sliding_7,0.1,base+X[3.70-4.50),1.15,no,0.0292,112,2,8,1032.7
sliding_7,0.1,base+X[3.70-4.50),1.15,si,0.0292,112,2,8,1032.7
sliding_3,0.04,base+X[3.50-4.50),none,no,0.029,572,5,8,1165.9
sliding_3,0.1,base,none,no,0.0289,257,5,8,1074.4
sliding_4,0.1,base+X[3.70-4.50),1.25,no,0.0286,226,3,8,1064.7
sliding_5,0.1,base+X[3.50-4.50),1.25,si,0.0286,191,4,8,1054.6
sliding_7,0.05,base,1.25,si,0.0283,242,4,8,1068.5
sliding_3,0.05,solo_X[3.50-4.50),1.15,si,0.0282,107,5,8,1030.2
sliding_3,0.07,base+X[3.70-4.50),1.25,si,0.0281,258,4,8,1072.5
sliding_4,0.1,base+X[3.50-4.50),1.2,no,0.0281,189,3,8,1053.1
sliding_5,0.07,base+X[3.70-4.50),1.25,si,0.0278,246,3,8,1068.5
sliding_7,0.1,base,1.25,si,0.0276,178,3,8,1049.1
sliding_4,0.07,solo_X[3.50-4.50),none,si,0.0275,110,5,8,1030.2
sliding_6,0.04,base,none,si,0.0275,277,4,8,1076.3
sliding_3,0.05,base+X[3.70-4.50),1.15,si,0.0274,206,4,8,1056.5
sliding_3,0.1,base+X[3.50-4.50),1.2,si,0.0273,172,4,8,1046.9
sliding_5,0.04,base+X[3.70-4.50),1.25,no,0.027,467,4,8,1126.1
sliding_3,0.07,base+X[3.50-4.50),none,no,0.0266,449,5,8,1119.4
sliding_4,0.06,solo_X[3.50-4.50),1.25,no,0.0251,129,4,8,1032.4
sliding_3,0.03,base+X[3.50-4.50),1.2,no,0.025,489,4,8,1122.1
sliding_9,0.1,base,none,no,0.0249,297,4,8,1074.1
sliding_5,0.04,base+X[3.70-4.50),none,no,0.0249,541,4,8,1134.7
expanding,0.1,base,none,no,0.0249,297,4,8,1074.1
sliding_3,0.03,base,none,no,0.0248,423,4,8,1105.1
sliding_7,0.05,base,1.15,no,0.0246,214,5,8,1052.6
sliding_5,0.06,base+X[3.50-4.50),none,si,0.0246,212,3,8,1052.1
sliding_6,0.04,base,1.25,si,0.0244,270,5,8,1066.0
sliding_5,0.05,base+X[3.70-4.50),1.25,si,0.0242,278,4,8,1067.3
sliding_3,0.04,solo_X[3.50-4.50),none,no,0.0241,183,4,8,1044.1
sliding_4,0.1,base+X[3.70-4.50),none,no,0.0239,284,4,8,1067.8
sliding_3,0.03,base+X[3.50-4.50),1.25,no,0.0238,538,5,8,1128.3
sliding_6,0.06,base,1.2,si,0.0238,209,5,8,1049.7
sliding_9,0.05,base+X[3.70-4.50),1.2,no,0.0237,358,4,8,1084.8
expanding,0.05,base+X[3.70-4.50),1.2,no,0.0237,358,4,8,1084.8
